PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
1961790,1973354,Host(NUMA 6),Device ?,4.00,294.94,14.22,11246790604364170,11246790604659110,1781444304179448800,1781444304179743740
1961865,1973184,Host(NUMA 7),Device ?,16.00,1048.57,16.00,11246790603611940,11246790604660510,1781444304178872110,1781444304179920680
1962011,1974998,Host(NUMA 5),Device ?,16.00,982.79,17.07,11246790603858290,11246790604841080,1781444304179212970,1781444304180195760
1961790,1973354,Host(NUMA 6),Device ?,16.00,1036.73,16.18,11246790604700270,11246790605737000,1781444304179782090,1781444304180818820
1961865,1973184,Host(NUMA 7),Device ?,16.00,1032.24,16.25,11246790604705940,11246790605738180,1781444304179970200,1781444304181002440
1962011,1974998,Host(NUMA 5),Device ?,16.00,1237.58,13.56,11246790604888740,11246790606126320,1781444304180041980,1781444304181279560
1961865,1973184,Host(NUMA 7),Device ?,12.00,654.93,19.21,11246790605785930,11246790606440860,1781444304180914360,1781444304181569290
1961790,1973354,Host(NUMA 6),Device ?,16.00,1022.20,16.41,11246790605786960,11246790606809160,1781444304180838290,1781444304181860490
1961865,1973184,Host(NUMA 7),Device ?,4.00,292.74,14.33,11246790606480220,11246790606772960,1781444304181739210,1781444304182031950
1962011,1974998,Host(NUMA 5),Device ?,12.00,758.10,16.60,11246790606175380,11246790606933480,1781444304181550730,1781444304182308830
1962011,1974998,Host(NUMA 5),Device ?,4.00,461.85,9.08,11246790606975500,11246790607437350,1781444304182020430,1781444304182482280
1961790,1973354,Host(NUMA 6),Device ?,12.00,619.99,20.30,11246790606855470,11246790607475460,1781444304182140140,1781444304182760130
1961790,1973354,Host(NUMA 6),Device ?,4.00,313.70,13.37,11246790607515750,11246790607829450,1781444304182659060,1781444304182972760
1961865,1973184,Host(NUMA 7),Device ?,16.00,1037.08,16.18,11246790606812190,11246790607849270,1781444304182221990,1781444304183259070
1962011,1974998,Host(NUMA 5),Device ?,16.00,950.59,17.65,11246790607478470,11246790608429060,1781444304182592110,1781444304183542700
1961865,1973184,Host(NUMA 7),Device ?,16.00,919.82,18.24,11246790607899200,11246790608819020,1781444304182973090,1781444304183892910
