WindowStart_ns,WindowEnd_ns,Source,Destination,Bytes_MB,Bandwidth_GBps,WindowStartWall_ns,WindowEndWall_ns,Duration_ms,Packet_Count
11246790602619780,11246790603640560,Host(NUMA 6),Device ?,16.00,16.44,1781444304178278220,1781444304179299000,1.021,1
11246790603688230,11246790604320050,Host(NUMA 6),Device ?,12.00,19.92,1781444304178831730,1781444304179463550,0.632,1
11246790603270540,11246790603572650,Host(NUMA 7),Device ?,4.00,13.88,1781444304178516080,1781444304178818190,0.302,1
11246790603517460,11246790603814520,Host(NUMA 5),Device ?,4.00,14.12,1781444304178819780,1781444304179116840,0.297,1
11246790604364170,11246790604659110,Host(NUMA 6),Device ?,4.00,14.22,1781444304179448800,1781444304179743740,0.295,1
11246790603611940,11246790604660510,Host(NUMA 7),Device ?,16.00,16.00,1781444304178872110,1781444304179920680,1.049,1
11246790603858290,11246790604841080,Host(NUMA 5),Device ?,16.00,17.07,1781444304179212970,1781444304180195760,0.983,1
11246790604705940,11246790605738180,Host(NUMA 7),Device ?,16.00,16.25,1781444304179970200,1781444304181002440,1.032,1
11246790604700270,11246790605737000,Host(NUMA 6),Device ?,16.00,16.18,1781444304179782090,1781444304180818820,1.037,1
11246790605785930,11246790606440860,Host(NUMA 7),Device ?,12.00,19.21,1781444304180914360,1781444304181569290,0.655,1
11246790604888740,11246790606126320,Host(NUMA 5),Device ?,16.00,13.56,1781444304180041980,1781444304181279560,1.238,1
11246790606175380,11246790606933480,Host(NUMA 5),Device ?,12.00,16.60,1781444304181550730,1781444304182308830,0.758,1
11246790605786960,11246790606809160,Host(NUMA 6),Device ?,16.00,16.41,1781444304180838290,1781444304181860490,1.022,1
11246790606855470,11246790607475460,Host(NUMA 6),Device ?,12.00,20.30,1781444304182140140,1781444304182760130,0.620,1
11246790606480220,11246790606772960,Host(NUMA 7),Device ?,4.00,14.33,1781444304181739210,1781444304182031950,0.293,1
11246790606975500,11246790607437350,Host(NUMA 5),Device ?,4.00,9.08,1781444304182020430,1781444304182482280,0.462,1
11246790606812190,11246790607849270,Host(NUMA 7),Device ?,16.00,16.18,1781444304182221990,1781444304183259070,1.037,1
11246790607515750,11246790607829450,Host(NUMA 6),Device ?,4.00,13.37,1781444304182659060,1781444304182972760,0.314,1
11246790607478470,11246790608429060,Host(NUMA 5),Device ?,16.00,17.65,1781444304182592110,1781444304183542700,0.951,1
11246790607899200,11246790608819020,Host(NUMA 7),Device ?,16.00,18.24,1781444304182973090,1781444304183892910,0.920,1
11246790608874520,11246790609632550,Host(NUMA 7),Device ?,12.00,16.60,1781444304184188440,1781444304184946470,0.758,1
11246790608477460,11246790609338480,Host(NUMA 5),Device ?,16.00,19.49,1781444304183796310,1781444304184657330,0.861,1
