timestamp,path_id,bandwidth_gbps,is_degraded
1781253691.686,20176,19.20,0
1781253691.700,20176,10.40,1
1781253691.709,20176,19.00,0
1781253691.721,20176,12.20,1
1781253691.730,20176,19.00,0
1781253692.770,35121,5.40,1
1781253692.789,35121,7.70,1
1781253692.805,35121,9.20,1
1781253694.861,35121,19.90,0
1781253694.875,35121,10.90,1
1781253694.886,35121,14.10,0
1781253694.905,35121,7.90,1
1781253694.913,35121,19.80,0
1781253694.927,35121,12.90,1
1781253694.936,35121,17.90,0
1781253698.005,35121,15.40,0
1781253698.016,35121,14.00,1
1781253698.027,35121,14.70,0
1781253698.044,35121,8.40,1
1781253698.054,35121,16.20,0
1781253698.067,35121,11.70,1
1781253698.075,35121,18.80,0
1781253698.088,35121,12.50,1
1781253698.096,35121,19.70,0
1781253698.117,35121,7.00,1
1781253699.145,35121,9.70,1
1781253699.159,35121,10.40,1
1781253700.189,35121,13.80,1
1781253700.199,35121,16.10,0
1781253700.209,35121,15.40,0
1781253700.221,35121,12.90,1
1781253700.232,35121,14.20,0
1781253700.247,35121,10.00,1
1781253700.260,35121,12.30,1
1781253700.271,35121,13.30,1
1781253700.280,35121,19.30,0
1781253700.292,35121,12.10,1
1781253701.368,35121,7.50,1
1781253701.390,35121,6.50,1
1781253701.413,35121,6.30,1
1781253701.423,35121,15.60,0
1781253701.434,35121,14.40,0
1781253701.444,35121,16.90,0
1781253701.464,35121,7.00,1
1781253701.475,35121,15.20,0
1781253702.518,20176,14.30,0
1781253703.543,35121,13.10,1
1781253703.555,35121,13.10,1
1781253703.565,35121,17.20,0
1781253703.577,35121,12.80,1
1781253703.586,35121,19.50,0
1781253703.605,35121,7.50,1
1781253704.627,35121,12.20,1
1781253705.667,35121,15.80,0
1781253705.681,35121,10.60,1
1781253705.690,35121,18.50,0
1781253705.702,35121,12.30,1
1781253705.711,35121,19.60,0
1781253705.728,35121,8.50,1
1781253706.754,35121,8.20,1
1781253706.763,35121,18.50,0
1781253706.780,35121,8.60,1
1781253706.789,35121,19.50,0
1781253706.807,35121,10.10,1
1781253706.815,35121,19.40,0
1781253706.835,35121,7.20,1
1781253706.855,35121,7.50,1
1781253707.878,35121,11.20,1
1781253708.917,35121,14.00,1
1781253708.929,35121,13.10,1
1781253708.949,35121,7.20,1
1781253708.959,35121,16.10,0
1781253708.971,35121,12.50,1
1781253708.979,35121,19.70,0
1781253708.992,35121,12.20,1
1781253709.004,35121,13.10,1
1781253709.020,35121,9.00,1
1781253710.045,35121,9.50,1
1781253711.083,35121,13.10,1
1781253711.104,35121,14.30,0
1781253711.115,35121,13.40,1
1781253711.125,35121,15.90,0
1781253712.143,20176,20.10,0
1781253712.164,20176,6.90,1
1781253712.172,20176,18.80,0
1781253712.184,20176,13.60,1
1781253713.217,35121,12.90,1
1781253713.225,35121,20.00,0
1781253714.262,35121,12.30,1
1781253714.270,35121,19.30,0
1781253714.290,35121,7.50,1
1781253714.298,35121,19.40,0
1781253714.312,35121,10.80,1
1781253714.320,35121,19.60,0
1781253714.332,35121,13.20,1
1781253714.341,35121,17.00,0
1781253714.358,35121,8.90,1
1781253714.367,35121,19.30,0
1781253717.442,20176,11.50,1
1781253717.454,20176,12.60,1
1781253717.464,20176,16.20,0
1781253717.474,20176,15.40,0
1781253717.485,20176,13.70,1
1781253717.496,20176,13.80,1
1781253717.513,20176,8.50,1
1781253718.537,35121,12.20,1
1781253718.558,35121,6.80,1
1781253718.582,35121,5.90,1
1781253718.601,35121,7.80,1
1781253720.653,20176,19.90,0
1781253720.672,20176,7.60,1
1781253720.681,20176,18.70,0
1781253720.692,20176,13.60,1
1781253720.702,20176,16.90,0
1781253722.775,35121,9.00,1
1781253725.862,35121,6.90,1
1781253725.872,35121,15.90,0
1781253726.918,35121,13.60,1
1781253726.928,35121,15.90,0
1781253726.938,35121,15.70,0
1781253726.954,35121,9.40,1
1781253726.965,35121,14.80,0
1781253729.018,35121,20.30,0
1781253729.032,35121,10.60,1
1781253729.041,35121,20.10,0
1781253730.062,35121,11.90,1
1781253730.077,35121,10.20,1
1781253730.094,35121,8.70,1
1781253730.103,35121,19.10,0
1781253730.115,35121,12.30,1
1781253730.123,35121,19.70,0
1781253730.140,35121,8.70,1
1781253732.191,20176,19.30,0
1781253732.204,20176,11.80,1
1781253732.213,20176,17.70,0
1781253732.234,20176,7.10,1
1781253732.244,20176,15.00,0
1781253732.256,20176,13.50,1
1781253732.266,20176,16.30,0
1781253732.276,20176,15.00,0
1781253733.314,35121,6.70,1
1781253733.323,35121,17.00,0
1781253733.342,35121,8.70,1
1781253733.363,35121,7.00,1
1781253733.382,35121,7.50,1
1781253733.409,35121,5.40,1
1781253733.421,35121,12.20,1
