PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27324.76,0.94,11427499653260550,11427499680585310,1781625013228388770,1781625013255713530
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16471.35,16.49,11427499681378560,11427499697849910,1781625013256516810,1781625013272988160
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8738.95,15.54,11427499743015480,11427499751754430,1781625013318137680,1781625013326876630
2730429,2730429,Host(NUMA 4),NPU 0,0.01,80.27,0.09,11427499772816950,11427499772897220,1781625013347962360,1781625013348042630
2730429,2730429,Host(NUMA 4),NPU 0,0.01,33.63,0.21,11427499773003700,11427499773037330,1781625013348181360,1781625013348214990
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2283.97,14.46,11427499773232510,11427499775516480,1781625013348335860,1781625013350619830
2730429,2730429,Host(NUMA 4),NPU 0,0.01,38.18,0.24,11427499780816190,11427499780854370,1781625013355934390,1781625013355972570
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27207.66,0.94,11427499781055380,11427499808263040,1781625013356202220,1781625013383409880
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16210.31,16.75,11427499808936790,11427499825147100,1781625013384053160,1781625013400263470
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9049.12,15.01,11427499865873340,11427499874922460,1781625013441012930,1781625013450062050
2730429,2730429,Host(NUMA 4),NPU 0,0.01,49.93,0.14,11427499895922120,11427499895972050,1781625013471054070,1781625013471104000
2730429,2730429,Host(NUMA 4),NPU 0,0.01,32.15,0.22,11427499896094500,11427499896126650,1781625013471261440,1781625013471293590
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2253.41,14.66,11427499896302660,11427499898556070,1781625013471385270,1781625013473638680
2730429,2730429,Host(NUMA 4),NPU 0,0.01,40.82,0.23,11427499903788610,11427499903829430,1781625013478933960,1781625013478974780
2730429,2730429,Host(NUMA 4),NPU 0,24.50,26981.53,0.95,11427499904017400,11427499930998930,1781625013479139540,1781625013506121070
2730429,2730429,Host(NUMA 4),NPU 0,259.00,15956.31,17.02,11427499931794830,11427499947751140,1781625013506943950,1781625013522900260
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8817.08,15.40,11427499991998370,11427500000815450,1781625013567123960,1781625013575941040
2730429,2730429,Host(NUMA 4),NPU 0,0.01,51.89,0.14,11427500021792370,11427500021844260,1781625013596936930,1781625013596988820
2730429,2730429,Host(NUMA 4),NPU 0,0.01,34.68,0.21,11427500021947540,11427500021982220,1781625013597128020,1781625013597162700
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2199.56,15.02,11427500022167730,11427500024367290,1781625013597271240,1781625013599470800
2730429,2730429,Host(NUMA 4),NPU 0,0.01,42.22,0.22,11427500029628370,11427500029670590,1781625013604748050,1781625013604790270
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27020.92,0.95,11427500029855840,11427500056876760,1781625013605007760,1781625013632028680
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16194.96,16.77,11427500057529050,11427500073724010,1781625013632648490,1781625013648843450
