nohup: ignoring input
============================================================
FlowGap Online Probe Loop
  Trace log:  ../data/collected/pass2_raw.log
  Policy:     flowgap_predictive
  Budget:     2 probes/s
  Dry run:    False
  Once mode:  False
============================================================

Opening probe executor (AscendCL)...
  OK — executor ready

Waiting for trace file: ../data/collected/pass2_raw.log
  [LAT] Path 33139: 153.7µs (0.0GB/s)
  [LAT] Path 33139: 70.1µs (0.1GB/s)
  [LAT] Path 39006: 109.4µs (0.0GB/s)
  [LAT] Path 39006: 69.0µs (0.1GB/s)
  [LAT] Path 39006: 111.3µs (0.0GB/s)
  [LAT] Path 39006: 68.6µs (0.1GB/s)
  [LAT] Path 39006: 112.7µs (0.0GB/s)
  [BW] Path 39006: 8526.7µs (15.7GB/s)
  [LAT] Path 51468: 110.8µs (0.0GB/s)
  [LAT] Path 51468: 70.9µs (0.1GB/s)
  [LAT] Path 33139: 114.2µs (0.0GB/s)
  [LAT] Path 33139: 71.9µs (0.1GB/s)
  [LAT] Path 38170: 113.3µs (0.0GB/s)
  [LAT] Path 38170: 66.3µs (0.1GB/s)
  [LAT] Path 51468: 132.6µs (0.0GB/s)
  [BW] Path 51468: 7570.7µs (17.7GB/s)
  [LAT] Path 51468: 155.0µs (0.0GB/s)
  [LAT] Path 51468: 68.5µs (0.1GB/s)
  [LAT] Path 58584: 148.2µs (0.0GB/s)
  [LAT] Path 58584: 74.4µs (0.1GB/s)
  [LAT] Path 58584: 148.9µs (0.0GB/s)
  [LAT] Path 58584: 70.3µs (0.1GB/s)
  [LAT] Path 58584: 148.2µs (0.0GB/s)
  [LAT] Path 58584: 68.2µs (0.1GB/s)
  [LAT] Path 51468: 124.6µs (0.0GB/s)
  [LAT] Path 51468: 67.9µs (0.1GB/s)
  [LAT] Path 39472: 157.8µs (0.0GB/s)
  [LAT] Path 39472: 67.0µs (0.1GB/s)
  [LAT] Path 39472: 147.0µs (0.0GB/s)
  [LAT] Path 39472: 68.0µs (0.1GB/s)
  [LAT] Path 38170: 122.8µs (0.0GB/s)
  [BW] Path 38170: 6441.4µs (20.8GB/s)
  [LAT] Path 38170: 138.7µs (0.0GB/s)
  [LAT] Path 38170: 68.6µs (0.1GB/s)
  [LAT] Path 38170: 149.8µs (0.0GB/s)
  [LAT] Path 38170: 70.5µs (0.1GB/s)
  [LAT] Path 28801: 122.9µs (0.0GB/s)
  [LAT] Path 28801: 69.3µs (0.1GB/s)
  [LAT] Path 39006: 103.5µs (0.0GB/s)
  [BW] Path 39006: 6446.4µs (20.8GB/s)
  [BW] Path 61891: 7910.9µs (17.0GB/s)
  [LAT] Path 61891: 123.4µs (0.0GB/s)
  [LAT] Path 61891: 151.2µs (0.0GB/s)
  [LAT] Path 61891: 70.2µs (0.1GB/s)
  [LAT] Path 25752: 151.5µs (0.0GB/s)
  [LAT] Path 25752: 65.2µs (0.1GB/s)
  [LAT] Path 24721: 161.2µs (0.0GB/s)
  [LAT] Path 24721: 68.1µs (0.1GB/s)
