index,path_id,bandwidth_gbps,is_degraded
493,16513,7.90,1
494,16513,17.60,0
495,16513,11.20,1
496,16513,19.60,0
497,16513,11.10,1
498,16513,16.00,0
499,16513,19.90,0
500,16513,13.10,0
501,16513,9.10,1
502,16513,19.90,0
503,16513,19.00,0
504,16513,14.40,0
505,16513,7.50,1
506,16513,19.20,0
507,16513,11.50,1
508,16513,16.90,0
509,16513,8.60,1
510,16513,10.70,1
511,16513,15.80,0
512,16513,10.20,1
513,16513,10.20,1
514,16513,19.60,0
515,16513,13.80,0
516,16513,19.60,0
517,16513,19.60,0
518,16513,19.80,0
519,16513,14.80,0
520,16513,19.80,0
521,16513,11.40,1
522,16513,19.60,0
523,16513,20.30,0
524,16513,19.80,0
525,16513,19.80,0
526,16513,19.70,0
527,16513,16.90,0
528,16513,9.70,1
529,16513,14.80,0
530,16513,12.70,0
531,16513,15.20,0
532,16513,14.20,0
533,16513,19.30,0
534,16513,19.50,0
535,16513,20.40,0
536,16513,17.60,0
537,16513,19.70,0
538,16513,10.50,1
539,16513,16.20,0
540,16513,19.70,0
541,16513,11.40,1
542,16513,12.20,1
543,16513,10.80,1
544,16513,19.60,0
545,16513,15.50,0
546,16513,19.70,0
547,16513,20.00,0
548,16513,9.90,1
549,16513,19.60,0
550,16513,13.00,0
551,16513,17.20,0
552,16513,10.30,1
553,16513,9.60,1
554,16513,17.30,0
555,16513,19.60,0
556,16513,18.10,0
557,16513,8.50,1
558,16513,8.60,1
559,16513,19.60,0
560,16513,19.10,0
561,16513,6.00,1
562,16513,11.30,1
563,16513,9.20,1
564,16513,19.60,0
565,16513,20.20,0
566,16513,20.10,0
567,16513,19.50,0
568,16513,19.20,0
569,16513,6.00,1
570,16513,15.80,0
571,16513,8.40,1
572,16513,19.30,0
573,16513,15.90,0
574,16513,11.30,1
575,16513,19.40,0
576,16513,19.10,0
577,16513,15.10,0
578,16513,19.70,0
579,16513,20.20,0
580,16513,15.40,0
581,16513,19.90,0
582,16513,19.90,0
583,16513,15.80,0
584,16513,12.80,0
585,16513,18.60,0
586,16513,9.90,1
587,16513,20.30,0
588,16513,19.80,0
589,16513,19.90,0
590,16513,19.60,0
591,16513,20.10,0
592,16513,10.30,1
593,16513,19.80,0
594,16513,12.70,0
595,16513,10.90,1
596,16513,14.10,0
597,16513,11.30,1
598,16513,16.50,0
599,16513,20.50,0
600,16513,19.80,0
601,16513,19.60,0
602,16513,19.90,0
603,56659,20.40,0
604,56659,14.30,0
605,31572,14.60,0
606,31572,19.60,0
607,65441,19.70,0
608,65441,20.70,0
609,10145,20.40,0
610,10145,20.60,0
611,16080,20.60,0
612,16080,15.10,0
613,31572,14.60,0
614,31572,20.30,0
615,36012,20.20,0
616,36012,12.50,0
617,65441,19.70,0
618,36012,20.20,0
619,36012,19.70,0
620,36012,20.40,0
621,36012,19.80,0
622,36012,20.20,0
623,10145,20.20,0
624,10145,20.10,0
625,10145,20.10,0
626,10145,20.20,0
627,56659,20.70,0
628,56659,20.60,0
629,56659,20.50,0
630,56659,16.30,0
631,56659,20.10,0
632,56659,19.90,0
633,16080,20.30,0
634,16080,19.90,0
635,31572,20.40,0
636,31572,19.90,0
637,35431,20.40,0
638,35431,20.40,0
639,31572,20.20,0
640,31572,15.80,0
641,56659,20.50,0
642,56659,19.90,0
643,31572,19.50,0
644,31572,19.30,0
645,56659,13.10,0
646,56659,19.80,0
647,35431,17.40,0
648,10145,19.70,0
649,10145,20.30,0
650,36012,20.50,0
651,36012,15.20,0
652,56659,20.40,0
653,56659,20.50,0
654,36012,20.30,0
655,36012,19.80,0
656,36012,20.10,0
657,36012,19.70,0
658,36012,20.20,0
659,16080,20.50,0
660,31572,20.10,0
661,31572,19.60,0
662,35431,20.50,0
663,35431,19.70,0
664,35431,14.60,0
665,35431,19.90,0
666,10145,14.70,0
667,10145,20.60,0
668,31572,20.60,0
669,31572,13.20,0
670,56659,14.90,0
671,56659,20.00,0
672,56659,20.50,0
673,56659,20.20,0
674,36012,20.50,0
675,36012,20.70,0
676,36012,20.40,0
677,35431,20.00,0
678,35431,19.70,0
679,16080,8.10,1
680,16080,11.80,1
681,16080,13.80,0
682,16080,14.30,0
683,36012,10.90,1
684,36012,11.80,1
685,56659,9.50,1
